REGION,PROVINCE,MUNICIPALITY,BARANGAY,PRECINCT_ID
NCR,NCR - MANILA,BINONDO,BARANGAY 287,39020701
NCR,NCR - MANILA,BINONDO,BARANGAY 287,39020702
NCR,NCR - MANILA,BINONDO,BARANGAY 288,39020703
NCR,NCR - MANILA,BINONDO,BARANGAY 289,39020704
NCR,NCR - MANILA,BINONDO,BARANGAY 290,39020705
NCR,NCR - MANILA,BINONDO,BARANGAY 291,39020706
NCR,NCR - MANILA,BINONDO,BARANGAY 292,39020707
NCR,NCR - MANILA,BINONDO,BARANGAY 292,39020708
NCR,NCR - MANILA,BINONDO,BARANGAY 292,39020709
NCR,NCR - MANILA,BINONDO,BARANGAY 293,39020710
NCR,NCR - MANILA,BINONDO,BARANGAY 293,39020711
NCR,NCR - MANILA,BINONDO,BARANGAY 294,39020712
NCR,NCR - MANILA,BINONDO,BARANGAY 294,39020713
NCR,NCR - MANILA,BINONDO,BARANGAY 295,39020714
NCR,NCR - MANILA,BINONDO,BARANGAY 296,39020715
NCR,NCR - MANILA,BINONDO,BARANGAY 296,39020716
NCR,NCR - MANILA,BINONDO,BARANGAY 296,39020717
NCR,NCR - MANILA,ERMITA,BARANGAY 659,39081270
NCR,NCR - MANILA,ERMITA,BARANGAY 659-A,39081271
NCR,NCR - MANILA,ERMITA,BARANGAY 659-A,39081272
NCR,NCR - MANILA,ERMITA,BARANGAY 659-A,39081273
NCR,NCR - MANILA,ERMITA,BARANGAY 660,39081274
NCR,NCR - MANILA,ERMITA,BARANGAY 660-A,39081275
NCR,NCR - MANILA,ERMITA,BARANGAY 661,39081276
NCR,NCR - MANILA,ERMITA,BARANGAY 663,39081280
NCR,NCR - MANILA,ERMITA,BARANGAY 663-A,39081281
NCR,NCR - MANILA,ERMITA,BARANGAY 664,39081282
NCR,NCR - MANILA,ERMITA,BARANGAY 666,39081284
NCR,NCR - MANILA,ERMITA,BARANGAY 666,39081285
NCR,NCR - MANILA,ERMITA,BARANGAY 667,39081286
NCR,NCR - MANILA,ERMITA,BARANGAY 667,39081287
NCR,NCR - MANILA,ERMITA,BARANGAY 668,39081288
NCR,NCR - MANILA,ERMITA,BARANGAY 669,39081289
NCR,NCR - MANILA,ERMITA,BARANGAY 669,39081290
NCR,NCR - MANILA,ERMITA,BARANGAY 669,39081291
NCR,NCR - MANILA,ERMITA,BARANGAY 669,39081292
NCR,NCR - MANILA,ERMITA,BARANGAY 670,39081293
NCR,NCR - MANILA,ERMITA,BARANGAY 670,39081294
NCR,NCR - MANILA,ERMITA,BARANGAY 670,39081295
NCR,NCR - MANILA,INTRAMUROS,BARANGAY 654,39091260
NCR,NCR - MANILA,INTRAMUROS,BARANGAY 654,39091261
NCR,NCR - MANILA,INTRAMUROS,BARANGAY 655,39091262
NCR,NCR - MANILA,INTRAMUROS,BARANGAY 655,39091263
NCR,NCR - MANILA,INTRAMUROS,BARANGAY 656,39091264
NCR,NCR - MANILA,INTRAMUROS,BARANGAY 657,39091265
NCR,NCR - MANILA,INTRAMUROS,BARANGAY 657,39091266
NCR,NCR - MANILA,INTRAMUROS,BARANGAY 658,39091267
NCR,NCR - MANILA,INTRAMUROS,BARANGAY 658,39091268
NCR,NCR - MANILA,INTRAMUROS,BARANGAY 658,39091269
NCR,NCR - MANILA,MALATE,BARANGAY 688,39101324
NCR,NCR - MANILA,MALATE,BARANGAY 689,39101325
NCR,NCR - MANILA,MALATE,BARANGAY 690,39101326
NCR,NCR - MANILA,MALATE,BARANGAY 691,39101327
NCR,NCR - MANILA,MALATE,BARANGAY 692,39101328
NCR,NCR - MANILA,MALATE,BARANGAY 693,39101329
NCR,NCR - MANILA,MALATE,BARANGAY 694,39101330
NCR,NCR - MANILA,MALATE,BARANGAY 695,39101331
NCR,NCR - MANILA,MALATE,BARANGAY 696,39101332
NCR,NCR - MANILA,MALATE,BARANGAY 696,39101333
NCR,NCR - MANILA,MALATE,BARANGAY 697,39101334
NCR,NCR - MANILA,MALATE,BARANGAY 697,39101335
NCR,NCR - MANILA,MALATE,BARANGAY 698,39101336
NCR,NCR - MANILA,MALATE,BARANGAY 699,39101337
NCR,NCR - MANILA,MALATE,BARANGAY 699,39101338
NCR,NCR - MANILA,MALATE,BARANGAY 700,39101339
NCR,NCR - MANILA,MALATE,BARANGAY 701,39101340
NCR,NCR - MANILA,MALATE,BARANGAY 701,39101341
NCR,NCR - MANILA,MALATE,BARANGAY 702,39101342
NCR,NCR - MANILA,MALATE,BARANGAY 702,39101343
NCR,NCR - MANILA,MALATE,BARANGAY 702,39101344
NCR,NCR - MANILA,MALATE,BARANGAY 703,39101345
NCR,NCR - MANILA,MALATE,BARANGAY 704,39101346
NCR,NCR - MANILA,MALATE,BARANGAY 704,39101347
NCR,NCR - MANILA,MALATE,BARANGAY 704,39101348
NCR,NCR - MANILA,MALATE,BARANGAY 704,39101349
NCR,NCR - MANILA,MALATE,BARANGAY 705,39101350
NCR,NCR - MANILA,MALATE,BARANGAY 705,39101351
NCR,NCR - MANILA,MALATE,BARANGAY 705,39101352
NCR,NCR - MANILA,MALATE,BARANGAY 706,39101353
NCR,NCR - MANILA,MALATE,BARANGAY 706,39101354
NCR,NCR - MANILA,MALATE,BARANGAY 707,39101355
NCR,NCR - MANILA,MALATE,BARANGAY 708,39101356
NCR,NCR - MANILA,MALATE,BARANGAY 709,39101357
NCR,NCR - MANILA,MALATE,BARANGAY 710,39101358
NCR,NCR - MANILA,MALATE,BARANGAY 711,39101359
NCR,NCR - MANILA,MALATE,BARANGAY 712,39101360
NCR,NCR - MANILA,MALATE,BARANGAY 712,39101361
NCR,NCR - MANILA,MALATE,BARANGAY 713,39101362
NCR,NCR - MANILA,MALATE,BARANGAY 713,39101363
NCR,NCR - MANILA,MALATE,BARANGAY 714,39101364
NCR,NCR - MANILA,MALATE,BARANGAY 715,39101365
NCR,NCR - MANILA,MALATE,BARANGAY 716,39101366
