REGION,PROVINCE,MUNICIPALITY,BARANGAY,PRECINCT_ID
NCR,NCR - SECOND DISTRICT,CITY OF MANDALUYONG,POBLACION,74010001
NCR,NCR - SECOND DISTRICT,CITY OF MANDALUYONG,POBLACION,74010002
NCR,NCR - SECOND DISTRICT,CITY OF MANDALUYONG,POBLACION,74010003
NCR,NCR - SECOND DISTRICT,CITY OF MANDALUYONG,POBLACION,74010004
NCR,NCR - SECOND DISTRICT,CITY OF MANDALUYONG,POBLACION,74010005
NCR,NCR - SECOND DISTRICT,CITY OF MANDALUYONG,POBLACION,74010006
NCR,NCR - SECOND DISTRICT,CITY OF MANDALUYONG,POBLACION,74010007
NCR,NCR - SECOND DISTRICT,CITY OF MANDALUYONG,POBLACION,74010008
NCR,NCR - SECOND DISTRICT,CITY OF MANDALUYONG,POBLACION,74010009
NCR,NCR - SECOND DISTRICT,CITY OF MANDALUYONG,POBLACION,74010010
NCR,NCR - SECOND DISTRICT,CITY OF MANDALUYONG,POBLACION,74010011
NCR,NCR - SECOND DISTRICT,CITY OF MANDALUYONG,POBLACION,74010012
NCR,NCR - SECOND DISTRICT,CITY OF MANDALUYONG,POBLACION,74010013
NCR,NCR - SECOND DISTRICT,CITY OF MANDALUYONG,POBLACION,74010014
NCR,NCR - SECOND DISTRICT,CITY OF MANDALUYONG,POBLACION,74010015
NCR,NCR - SECOND DISTRICT,CITY OF MANDALUYONG,ADDITION HILLS,74010016
NCR,NCR - SECOND DISTRICT,CITY OF MANDALUYONG,ADDITION HILLS,74010017
NCR,NCR - SECOND DISTRICT,CITY OF MANDALUYONG,ADDITION HILLS,74010018
NCR,NCR - SECOND DISTRICT,CITY OF MANDALUYONG,ADDITION HILLS,74010019
NCR,NCR - SECOND DISTRICT,CITY OF MANDALUYONG,ADDITION HILLS,74010020
NCR,NCR - SECOND DISTRICT,CITY OF MANDALUYONG,ADDITION HILLS,74010021
NCR,NCR - SECOND DISTRICT,CITY OF MANDALUYONG,ADDITION HILLS,74010022
NCR,NCR - SECOND DISTRICT,CITY OF MANDALUYONG,ADDITION HILLS,74010023
NCR,NCR - SECOND DISTRICT,CITY OF MANDALUYONG,ADDITION HILLS,74010024
NCR,NCR - SECOND DISTRICT,CITY OF MANDALUYONG,ADDITION HILLS,74010025
NCR,NCR - SECOND DISTRICT,CITY OF MANDALUYONG,ADDITION HILLS,74010026
NCR,NCR - SECOND DISTRICT,CITY OF MANDALUYONG,ADDITION HILLS,74010027
NCR,NCR - SECOND DISTRICT,CITY OF MANDALUYONG,ADDITION HILLS,74010028
NCR,NCR - SECOND DISTRICT,CITY OF MANDALUYONG,ADDITION HILLS,74010029
NCR,NCR - SECOND DISTRICT,CITY OF MANDALUYONG,ADDITION HILLS,74010030
NCR,NCR - SECOND DISTRICT,CITY OF MANDALUYONG,ADDITION HILLS,74010031
NCR,NCR - SECOND DISTRICT,CITY OF MANDALUYONG,ADDITION HILLS,74010032
NCR,NCR - SECOND DISTRICT,CITY OF MANDALUYONG,ADDITION HILLS,74010033
NCR,NCR - SECOND DISTRICT,CITY OF MANDALUYONG,ADDITION HILLS,74010034
NCR,NCR - SECOND DISTRICT,CITY OF MANDALUYONG,ADDITION HILLS,74010035
NCR,NCR - SECOND DISTRICT,CITY OF MANDALUYONG,ADDITION HILLS,74010036
NCR,NCR - SECOND DISTRICT,CITY OF MANDALUYONG,ADDITION HILLS,74010037
NCR,NCR - SECOND DISTRICT,CITY OF MANDALUYONG,ADDITION HILLS,74010038
NCR,NCR - SECOND DISTRICT,CITY OF MANDALUYONG,ADDITION HILLS,74010039
NCR,NCR - SECOND DISTRICT,CITY OF MANDALUYONG,ADDITION HILLS,74010040
NCR,NCR - SECOND DISTRICT,CITY OF MANDALUYONG,ADDITION HILLS,74010041
NCR,NCR - SECOND DISTRICT,CITY OF MANDALUYONG,ADDITION HILLS,74010042
NCR,NCR - SECOND DISTRICT,CITY OF MANDALUYONG,ADDITION HILLS,74010043
NCR,NCR - SECOND DISTRICT,CITY OF MANDALUYONG,ADDITION HILLS,74010044
NCR,NCR - SECOND DISTRICT,CITY OF MANDALUYONG,ADDITION HILLS,74010045
NCR,NCR - SECOND DISTRICT,CITY OF MANDALUYONG,ADDITION HILLS,74010046
NCR,NCR - SECOND DISTRICT,CITY OF MANDALUYONG,ADDITION HILLS,74010047
NCR,NCR - SECOND DISTRICT,CITY OF MANDALUYONG,ADDITION HILLS,74010048
NCR,NCR - SECOND DISTRICT,CITY OF MANDALUYONG,ADDITION HILLS,74010049
NCR,NCR - SECOND DISTRICT,CITY OF MANDALUYONG,ADDITION HILLS,74010050
NCR,NCR - SECOND DISTRICT,CITY OF MANDALUYONG,ADDITION HILLS,74010051
NCR,NCR - SECOND DISTRICT,CITY OF MANDALUYONG,ADDITION HILLS,74010052
NCR,NCR - SECOND DISTRICT,CITY OF MANDALUYONG,ADDITION HILLS,74010053
NCR,NCR - SECOND DISTRICT,CITY OF MANDALUYONG,ADDITION HILLS,74010054
NCR,NCR - SECOND DISTRICT,CITY OF MANDALUYONG,ADDITION HILLS,74010055
NCR,NCR - SECOND DISTRICT,CITY OF MANDALUYONG,ADDITION HILLS,74010056
NCR,NCR - SECOND DISTRICT,CITY OF MANDALUYONG,ADDITION HILLS,74010057
NCR,NCR - SECOND DISTRICT,CITY OF MANDALUYONG,ADDITION HILLS,74010058
NCR,NCR - SECOND DISTRICT,CITY OF MANDALUYONG,ADDITION HILLS,74010059
NCR,NCR - SECOND DISTRICT,CITY OF MANDALUYONG,ADDITION HILLS,74010060
NCR,NCR - SECOND DISTRICT,CITY OF MANDALUYONG,ADDITION HILLS,74010061
