REGION,PROVINCE,MUNICIPALITY,BARANGAY,PRECINCT_ID
NCR,NCR - THIRD DISTRICT,CITY OF CALOOCAN,BARANGAY 1,75010001
NCR,NCR - THIRD DISTRICT,CITY OF CALOOCAN,BARANGAY 1,75010002
NCR,NCR - THIRD DISTRICT,CITY OF CALOOCAN,BARANGAY 2,75010003
NCR,NCR - THIRD DISTRICT,CITY OF CALOOCAN,BARANGAY 2,75010004
NCR,NCR - THIRD DISTRICT,CITY OF CALOOCAN,BARANGAY 2,75010005
NCR,NCR - THIRD DISTRICT,CITY OF CALOOCAN,BARANGAY 2,75010006
NCR,NCR - THIRD DISTRICT,CITY OF CALOOCAN,BARANGAY 3,75010007
NCR,NCR - THIRD DISTRICT,CITY OF CALOOCAN,BARANGAY 3,75010008
NCR,NCR - THIRD DISTRICT,CITY OF CALOOCAN,BARANGAY 3,75010009
NCR,NCR - THIRD DISTRICT,CITY OF CALOOCAN,BARANGAY 4,75010010
NCR,NCR - THIRD DISTRICT,CITY OF CALOOCAN,BARANGAY 4,75010011
NCR,NCR - THIRD DISTRICT,CITY OF CALOOCAN,BARANGAY 77,75010012
NCR,NCR - THIRD DISTRICT,CITY OF CALOOCAN,BARANGAY 77,75010013
NCR,NCR - THIRD DISTRICT,CITY OF CALOOCAN,BARANGAY 78,75010014
NCR,NCR - THIRD DISTRICT,CITY OF CALOOCAN,BARANGAY 78,75010015
NCR,NCR - THIRD DISTRICT,CITY OF CALOOCAN,BARANGAY 79,75010016
NCR,NCR - THIRD DISTRICT,CITY OF CALOOCAN,BARANGAY 80,75010017
NCR,NCR - THIRD DISTRICT,CITY OF CALOOCAN,BARANGAY 80,75010018
NCR,NCR - THIRD DISTRICT,CITY OF CALOOCAN,BARANGAY 81,75010019
NCR,NCR - THIRD DISTRICT,CITY OF CALOOCAN,BARANGAY 81,75010020
NCR,NCR - THIRD DISTRICT,CITY OF CALOOCAN,BARANGAY 82,75010021
NCR,NCR - THIRD DISTRICT,CITY OF CALOOCAN,BARANGAY 82,75010022
NCR,NCR - THIRD DISTRICT,CITY OF CALOOCAN,BARANGAY 83,75010023
NCR,NCR - THIRD DISTRICT,CITY OF CALOOCAN,BARANGAY 83,75010024
NCR,NCR - THIRD DISTRICT,CITY OF CALOOCAN,BARANGAY 84,75010025
NCR,NCR - THIRD DISTRICT,CITY OF CALOOCAN,BARANGAY 85,75010026
NCR,NCR - THIRD DISTRICT,CITY OF CALOOCAN,BARANGAY 132,75010027
NCR,NCR - THIRD DISTRICT,CITY OF CALOOCAN,BARANGAY 132,75010028
NCR,NCR - THIRD DISTRICT,CITY OF CALOOCAN,BARANGAY 132,75010029
NCR,NCR - THIRD DISTRICT,CITY OF CALOOCAN,BARANGAY 132,75010030
NCR,NCR - THIRD DISTRICT,CITY OF CALOOCAN,BARANGAY 132,75010031
NCR,NCR - THIRD DISTRICT,CITY OF CALOOCAN,BARANGAY 132,75010032
NCR,NCR - THIRD DISTRICT,CITY OF CALOOCAN,BARANGAY 133,75010033
NCR,NCR - THIRD DISTRICT,CITY OF CALOOCAN,BARANGAY 133,75010034
NCR,NCR - THIRD DISTRICT,CITY OF CALOOCAN,BARANGAY 133,75010035
NCR,NCR - THIRD DISTRICT,CITY OF CALOOCAN,BARANGAY 133,75010036
NCR,NCR - THIRD DISTRICT,CITY OF CALOOCAN,BARANGAY 134,75010037
NCR,NCR - THIRD DISTRICT,CITY OF CALOOCAN,BARANGAY 135,75010038
